al ag as at k5 lm ln,iq ir mg bn,iq ir mg bn,al ag as at k5 lm ln,kp kq fy fw b1,g2 fv g3 be di bg dj b1,rich-text
70,蘋果紅萱 Apple HongXuan Tea,蘋果紅萱 Apple HongXuan Tea,70,most liked,"冷飲(660ml)：總熱量313大卡，總糖量56公克，咖啡因94毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量240大卡，總糖量52公克，咖啡因140毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三韻紅萱/臺灣(本產品圖片僅供參考，實品請以實物為主)",
80,蜜桃烏龍 Peach Blooming Oolong Tea,蜜桃烏龍 Peach Blooming Oolong Tea,80,most liked,冷飲(660ml)：總熱量288大卡，總糖量63公克，咖啡因93毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主),
89,紅柚翡翠 Grapefruit Green Tea,紅柚翡翠 Grapefruit Green Tea,89,most liked,冷飲(660ml)：總熱量285大卡，總糖量63公克，咖啡因126毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
70,柳丁翡翠 Orange Green Tea,柳丁翡翠 Orange Green Tea,70,,冷飲(660ml)：總熱量337大卡，總糖量60公克，咖啡因103毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
60,阿源楊桃綠茶 Star Fruit Green Tea,阿源楊桃綠茶 Star Fruit Green Tea,60,,"冷飲(660ml)：總熱量250大卡，總糖量60公克，咖啡因111毫克。
熱飲(500ml)：總熱量226大卡，總糖量54公克，咖啡因89毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算/)翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
72,珍珠奶茶 Black Milk Tea with Tapioca,珍珠奶茶 Black Milk Tea with Tapioca,72,,"冷飲(660ml)：總熱量670大卡，總糖量42公克，咖啡因150毫克。
熱飲(500ml)：總熱量539大卡，總糖量32公克，咖啡因292毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南
(本產品圖片僅供參考，實品請以實物為主)",
80,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,80,,"冷飲(660ml)：總熱量314大卡，總糖量52公克，咖啡因245毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量230大卡，總糖量34公克，咖啡因204毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅水烏龍/臺灣、越南(本產品圖片僅供參考，實品請以實物為主)",
75,蜂蜜雷夢 Honey Lemonade,蜂蜜雷夢 Honey Lemonade,75,,冷飲(660ml)：總熱量263大卡，總糖量57公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
85,雷夢蘆薈蜜 Honey Lemonade with Aloe,雷夢蘆薈蜜 Honey Lemonade with Aloe,85,,冷飲(660ml)：總熱量309大卡，總糖量69公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
75,極品鮮乳茶 Black Fresh Milk Tea,極品鮮乳茶 Black Fresh Milk Tea,75,,"冷飲(660ml)：總熱量317大卡，總糖量52公克，咖啡因208毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量234大卡，總糖量34公克，咖啡因208毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
